iter	Passed	Remaining
400	25956	38772
401	26026	38715
402	26093	38654
403	26156	38587
404	26227	38531
405	26296	38473
406	26393	38456
407	26476	38417
408	26548	38362
409	26614	38299
410	26680	38235
411	26745	38170
412	26811	38107
413	26875	38041
414	26939	37974
415	27002	37907
416	27065	37840
417	27127	37771
418	27195	37710
419	27266	37654
420	27335	37594
421	27406	37538
422	27473	37476
423	27536	37407
424	27600	37341
425	27664	37276
426	27728	37209
427	27795	37147
428	27860	37081
429	27924	37015
430	27981	36941
431	28045	36874
432	28108	36807
433	28176	36746
434	28241	36681
435	28333	36651
436	28400	36589
437	28468	36527
438	28537	36468
439	28613	36417
440	28683	36357
441	28757	36304
442	28830	36249
443	28901	36191
444	28971	36133
445	29040	36072
446	29113	36017
447	29187	35963
448	29263	35911
449	29342	35863
450	29423	35817
451	29499	35765
452	29576	35713
453	29658	35668
454	29723	35602
455	29798	35548
456	29870	35492
457	29941	35432
458	30010	35371
459	30080	35311
460	30152	35253
461	30225	35198
462	30293	35134
463	30363	35075
464	30434	35016
465	30506	34958
466	30577	34899
467	30647	34838
468	30715	34776
469	30788	34718
470	30859	34659
471	30930	34599
472	30995	34534
473	31062	34470
474	31128	34405
475	31195	34340
476	31263	34278
477	31328	34212
478	31401	34154
479	31491	34115
480	31568	34062
481	31638	34001
482	31713	33946
483	31784	33885
484	31858	33828
485	31928	33768
486	32006	33714
487	32084	33662
488	32157	33603
489	32227	33542
490	32298	33482
491	32376	33429
492	32449	33370
493	32522	33312
494	32589	33247
495	32661	33188
496	32734	33130
497	32812	33075
498	32891	33023
499	32964	32964
500	33039	32907
501	33107	32843
502	33176	32780
503	33243	32716
504	33306	32646
505	33369	32578
506	33435	32511
507	33497	32442
508	33563	32376
509	33626	32308
510	33691	32240
511	33755	32172
512	33817	32103
513	33882	32036
514	33950	31972
515	34019	31910
516	34088	31846
517	34157	31783
518	34228	31722
519	34292	31654
520	34356	31587
521	34425	31523
522	34530	31493
523	34600	31430
524	34666	31365
525	34730	31297
526	34798	31233
527	34860	31163
528	34926	31097
529	34990	31028
530	35051	30958
531	35114	30890
532	35180	30824
533	35246	30758
534	35310	30690
535	35372	30621
536	35440	30556
537	35508	30492
538	35574	30426
539	35630	30351
540	35697	30286
541	35762	30219
542	35825	30151
543	35892	30085
544	35961	30023
545	36026	29956
546	36089	29887
547	36152	29818
548	36217	29752
549	36279	29683
550	36341	29614
551	36406	29547
552	36472	29481
553	36533	29411
554	36597	29344
555	36662	29276
556	36726	29209
557	36790	29142
558	36854	29074
559	36920	29008
560	36985	28942
561	37049	28874
562	37117	28810
563	37183	28744
564	37248	28678
565	37317	28614
566	37382	28547
567	37444	28479
568	37510	28413
569	37576	28347
570	37639	28279
571	37705	28213
572	37770	28146
573	37834	28079
574	37900	28013
575	37963	27945
576	38030	27879
577	38096	27814
578	38160	27746
579	38220	27677
580	38285	27610
581	38346	27540
582	38410	27474
583	38476	27407
584	38541	27341
585	38603	27273
586	38667	27205
587	38731	27138
588	38801	27075
589	38866	27008
590	38931	26942
591	38994	26874
592	39058	26807
593	39122	26740
594	39185	26672
595	39252	26607
596	39322	26544
597	39386	26477
598	39448	26408
599	39513	26342
600	39578	26275
601	39643	26209
602	39711	26145
603	39780	26080
604	39851	26018
605	39916	25952
606	39982	25886
607	40038	25814
608	40104	25748
609	40170	25682
610	40239	25618
611	40334	25571
612	40399	25505
613	40463	25438
614	40527	25370
615	40594	25305
616	40664	25242
617	40739	25181
618	40810	25119
619	40876	25053
620	40941	24986
621	41010	24922
622	41081	24859
623	41145	24792
624	41206	24724
625	41272	24658
626	41334	24589
627	41396	24521
628	41461	24455
629	41525	24388
630	41586	24319
631	41653	24253
632	41717	24186
633	41779	24118
634	41843	24051
635	41907	23984
636	41971	23917
637	42035	23851
638	42101	23784
639	42165	23718
640	42230	23651
641	42290	23582
642	42365	23521
643	42432	23456
644	42494	23388
645	42557	23320
646	42620	23253
647	42683	23185
648	42746	23118
649	42810	23051
650	42877	22986
651	42945	22921
652	43014	22857
653	43083	22793
654	43145	22725
655	43205	22656
656	43272	22591
657	43342	22527
658	43412	22464
659	43477	22397
660	43542	22330
661	43606	22264
662	43668	22196
663	43732	22129
664	43795	22062
665	43860	21995
666	43926	21930
667	43989	21862
668	44056	21797
669	44121	21731
670	44185	21664
671	44248	21597
672	44317	21533
673	44382	21466
674	44446	21400
675	44510	21333
676	44578	21268
677	44648	21204
678	44712	21138
679	44786	21076
680	44852	21010
681	44916	20943
682	44980	20876
683	45043	20809
684	45108	20743
685	45172	20676
686	45231	20607
687	45293	20539
688	45356	20473
689	45421	20406
690	45483	20339
691	45546	20272
692	45608	20204
693	45673	20138
694	45736	20071
695	45803	20006
696	45866	19938
697	45931	19873
698	45996	19806
699	46065	19742
700	46128	19675
701	46192	19608
702	46255	19541
703	46322	19476
704	46429	19427
705	46528	19376
706	46593	19309
707	46665	19246
708	46727	19178
709	46791	19111
710	46853	19044
711	46919	18978
712	46983	18911
713	47048	18845
714	47117	18781
715	47184	18715
716	47248	18648
717	47316	18584
718	47379	18516
719	47445	18451
720	47509	18384
721	47574	18317
722	47639	18252
723	47704	18185
724	47766	18118
725	47830	18051
726	47890	17983
727	47954	17916
728	48018	17850
729	48087	17785
730	48151	17719
731	48216	17652
732	48279	17586
733	48344	17519
734	48404	17451
735	48467	17385
736	48524	17316
737	48586	17248
738	48649	17181
739	48713	17115
740	48780	17050
741	48851	16986
742	48924	16922
743	48989	16856
744	49057	16791
745	49123	16725
746	49188	16659
747	49252	16593
748	49316	16526
749	49381	16460
750	49445	16394
751	49511	16328
752	49577	16262
753	49638	16195
754	49702	16128
755	49764	16061
756	49827	15994
757	49892	15928
758	49955	15862
759	50018	15795
760	50087	15730
761	50155	15665
762	50224	15600
763	50288	15534
764	50358	15469
765	50427	15404
766	50501	15341
767	50580	15279
768	50644	15213
769	50712	15147
770	50781	15083
771	50846	15016
772	50911	14950
773	50976	14884
774	51044	14819
775	51105	14752
776	51170	14686
777	51234	14619
778	51299	14553
779	51364	14487
780	51428	14421
781	51490	14354
782	51551	14286
783	51613	14220
784	51678	14153
785	51746	14088
786	51811	14022
787	51862	13952
788	51926	13886
789	51990	13820
790	52052	13753
791	52117	13687
792	52181	13621
793	52242	13553
794	52311	13489
795	52379	13423
796	52443	13357
797	52505	13290
798	52575	13226
799	52639	13159
800	52700	13092
801	52764	13026
802	52828	12960
803	52892	12894
804	52954	12827
805	53020	12761
806	53084	12695
807	53143	12628
808	53207	12561
809	53263	12493
810	53327	12427
811	53389	12361
812	53454	12295
813	53515	12228
814	53579	12162
815	53644	12096
816	53706	12029
817	53770	11963
818	53833	11897
819	53898	11831
820	53964	11765
821	54027	11699
822	54089	11632
823	54153	11566
824	54220	11501
825	54284	11435
826	54351	11369
827	54415	11303
828	54479	11237
829	54544	11171
830	54609	11105
831	54675	11040
832	54737	10973
833	54802	10907
834	54865	10841
835	54931	10775
836	54995	10710
837	55060	10644
838	55119	10577
839	55181	10510
840	55246	10444
841	55311	10379
842	55375	10313
843	55438	10246
844	55500	10180
845	55564	10114
846	55629	10048
847	55691	9982
848	55754	9916
849	55818	9850
850	55884	9784
851	55948	9718
852	56005	9651
853	56067	9585
854	56124	9518
855	56189	9452
856	56252	9386
857	56317	9320
858	56378	9254
859	56443	9188
860	56505	9122
861	56570	9056
862	56635	8990
863	56698	8924
864	56761	8858
865	56826	8793
866	56891	8727
867	56957	8661
868	57021	8595
869	57086	8530
870	57149	8464
871	57217	8398
872	57280	8332
873	57345	8267
874	57409	8201
875	57471	8135
876	57534	8069
877	57601	8003
878	57660	7937
879	57725	7871
880	57787	7805
881	57849	7739
882	57913	7673
883	57977	7607
884	58047	7542
885	58115	7477
886	58181	7412
887	58242	7345
888	58306	7280
889	58368	7214
890	58429	7147
891	58491	7081
892	58555	7016
893	58616	6950
894	58678	6884
895	58740	6818
896	58800	6751
897	58861	6685
898	58923	6619
899	58985	6553
900	59050	6488
901	59126	6423
902	59194	6358
903	59259	6293
904	59324	6227
905	59388	6161
906	59452	6096
907	59516	6030
908	59579	5964
909	59642	5898
910	59705	5832
911	59768	5767
912	59832	5701
913	59897	5635
914	59955	5569
915	60024	5504
916	60088	5438
917	60151	5373
918	60214	5307
919	60283	5242
920	60344	5176
921	60405	5110
922	60469	5044
923	60535	4979
924	60600	4913
925	60665	4847
926	60732	4782
927	60794	4716
928	60858	4651
929	60922	4585
930	60986	4519
931	61048	4454
932	61110	4388
933	61173	4322
934	61238	4257
935	61300	4191
936	61362	4125
937	61433	4060
938	61500	3995
939	61564	3929
940	61629	3864
941	61689	3798
942	61751	3732
943	61813	3666
944	61882	3601
945	61947	3536
946	62011	3470
947	62075	3404
948	62140	3339
949	62207	3274
950	62272	3208
951	62338	3143
952	62402	3077
953	62470	3012
954	62533	2946
955	62596	2880
956	62664	2815
957	62728	2750
958	62792	2684
959	62860	2619
960	62923	2553
961	62988	2488
962	63052	2422
963	63116	2357
964	63179	2291
965	63243	2225
966	63307	2160
967	63370	2094
968	63436	2029
969	63501	1963
970	63565	1898
971	63628	1832
972	63692	1767
973	63753	1701
974	63819	1636
975	63883	1570
976	63952	1505
977	64018	1440
978	64081	1374
979	64147	1309
980	64211	1243
981	64276	1178
982	64335	1112
983	64399	1047
984	64463	981
985	64527	916
986	64591	850
987	64659	785
988	64723	719
989	64787	654
990	64856	589
991	64920	523
992	64984	458
993	65048	392
994	65112	327
995	65177	261
996	65240	196
997	65304	130
998	65365	65
999	65429	0
